Employee,Vacation start date,Vacation end date
user23@rbt.rs,"Monday, March 1, 2021","Friday, March 5, 2021"
user23@rbt.rs,"Monday, April 5, 2021","Thursday, April 8, 2021"
user23@rbt.rs,"Friday, April 9, 2021","Friday, April 9, 2021"
user23@rbt.rs,"Friday, May 28, 2021","Friday, June 4, 2021"
user23@rbt.rs,"Thursday, June 10, 2021","Thursday, June 10, 2021"
user23@rbt.rs,"Friday, June 18, 2021","Friday, June 18, 2021"
user23@rbt.rs,"Thursday, June 24, 2021","Friday, June 25, 2021"
user23@rbt.rs,"Tuesday, June 29, 2021","Tuesday, June 29, 2021"
user23@rbt.rs,"Friday, September 10, 2021","Thursday, September 30, 2021"
user64@rbt.rs,"Monday, May 6, 2019","Monday, May 6, 2019"
user64@rbt.rs,"Monday, July 15, 2019","Monday, July 15, 2019"
user64@rbt.rs,"Friday, August 16, 2019","Friday, August 30, 2019"
user24@rbt.rs,"Wednesday, July 3, 2019","Friday, July 5, 2019"
user24@rbt.rs,"Thursday, April 25, 2019","Tuesday, April 30, 2019"
user24@rbt.rs,"Friday, May 10, 2019","Friday, May 10, 2019"
user24@rbt.rs,"Friday, October 11, 2019","Monday, October 14, 2019"
user24@rbt.rs,"Friday, September 20, 2019","Friday, September 20, 2019"
user24@rbt.rs,"Wednesday, November 20, 2019","Wednesday, November 20, 2019"
user24@rbt.rs,"Monday, December 30, 2019","Tuesday, January 7, 2020"
user24@rbt.rs,"Tuesday, February 4, 2020","Tuesday, February 4, 2020"
user24@rbt.rs,"Wednesday, February 26, 2020","Friday, February 28, 2020"
user24@rbt.rs,"Friday, March 13, 2020","Friday, March 13, 2020"
user24@rbt.rs,"Tuesday, April 14, 2020","Tuesday, April 14, 2020"
user24@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user24@rbt.rs,"Monday, June 15, 2020","Monday, June 15, 2020"
user24@rbt.rs,"Monday, August 31, 2020","Thursday, September 3, 2020"
user24@rbt.rs,"Friday, October 23, 2020","Friday, October 23, 2020"
user24@rbt.rs,"Friday, December 11, 2020","Friday, December 11, 2020"
user24@rbt.rs,"Monday, December 28, 2020","Wednesday, January 6, 2021"
user24@rbt.rs,"Tuesday, March 2, 2021","Tuesday, March 2, 2021"
user24@rbt.rs,"Wednesday, March 31, 2021","Wednesday, March 31, 2021"
user24@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user24@rbt.rs,"Friday, June 11, 2021","Friday, June 11, 2021"
user24@rbt.rs,"Wednesday, June 16, 2021","Wednesday, June 16, 2021"
user24@rbt.rs,"Monday, June 21, 2021","Tuesday, June 22, 2021"
user24@rbt.rs,"Monday, August 16, 2021","Friday, August 27, 2021"
user24@rbt.rs,"Friday, October 8, 2021","Friday, October 8, 2021"
user24@rbt.rs,"Tuesday, November 9, 2021","Tuesday, November 9, 2021"
user25@rbt.rs,"Monday, May 27, 2019","Friday, May 31, 2019"
user25@rbt.rs,"Monday, August 19, 2019","Friday, August 30, 2019"
user25@rbt.rs,"Monday, March 25, 2019","Monday, March 25, 2019"
user25@rbt.rs,"Monday, January 20, 2020","Thursday, January 23, 2020"
user25@rbt.rs,"Friday, January 24, 2020","Friday, January 24, 2020"
user25@rbt.rs,"Friday, December 20, 2019","Friday, December 20, 2019"
user25@rbt.rs,"Monday, February 24, 2020","Tuesday, February 25, 2020"
user25@rbt.rs,"Monday, June 22, 2020","Friday, June 26, 2020"
user25@rbt.rs,"Monday, August 17, 2020","Friday, August 28, 2020"
user25@rbt.rs,"Monday, January 4, 2021","Monday, January 4, 2021"
user25@rbt.rs,"Monday, January 11, 2021","Friday, January 15, 2021"
user25@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user25@rbt.rs,"Monday, June 21, 2021","Friday, June 25, 2021"
user25@rbt.rs,"Thursday, July 29, 2021","Friday, August 6, 2021"
user25@rbt.rs,"Monday, January 10, 2022","Friday, January 14, 2022"
user65@rbt.rs,"Monday, August 5, 2019","Thursday, August 8, 2019"
user65@rbt.rs,"Tuesday, August 20, 2019","Friday, August 30, 2019"
user56@rbt.rs,"Tuesday, May 7, 2019","Tuesday, May 7, 2019"
user56@rbt.rs,"Tuesday, July 16, 2019","Tuesday, July 16, 2019"
user56@rbt.rs,"Friday, July 26, 2019","Friday, July 26, 2019"
user56@rbt.rs,"Monday, September 9, 2019","Friday, September 20, 2019"
user56@rbt.rs,"Tuesday, January 14, 2020","Tuesday, January 14, 2020"
user56@rbt.rs,"Monday, May 25, 2020","Friday, May 29, 2020"
user56@rbt.rs,"Wednesday, July 15, 2020","Thursday, July 16, 2020"
user56@rbt.rs,"Friday, July 17, 2020","Friday, July 31, 2020"
user56@rbt.rs,"Friday, October 9, 2020","Friday, October 9, 2020"
user56@rbt.rs,"Friday, November 13, 2020","Friday, November 13, 2020"
user56@rbt.rs,"Monday, November 30, 2020","Monday, December 7, 2020"
user26@rbt.rs,"Monday, July 15, 2019","Friday, July 26, 2019"
user26@rbt.rs,"Monday, February 3, 2020","Friday, February 7, 2020"
user26@rbt.rs,"Tuesday, January 21, 2020","Tuesday, January 21, 2020"
user26@rbt.rs,"Thursday, May 21, 2020","Friday, May 22, 2020"
user26@rbt.rs,"Monday, June 29, 2020","Tuesday, June 30, 2020"
user26@rbt.rs,"Tuesday, August 4, 2020","Friday, August 7, 2020"
user26@rbt.rs,"Thursday, November 12, 2020","Friday, November 13, 2020"
user26@rbt.rs,"Monday, March 8, 2021","Friday, March 19, 2021"
user26@rbt.rs,"Friday, June 4, 2021","Friday, June 4, 2021"
user26@rbt.rs,"Monday, June 28, 2021","Wednesday, June 30, 2021"
user26@rbt.rs,"Monday, July 12, 2021","Friday, July 23, 2021"
user26@rbt.rs,"Tuesday, August 31, 2021","Tuesday, August 31, 2021"
user26@rbt.rs,"Friday, November 12, 2021","Friday, November 12, 2021"
user57@rbt.rs,"Friday, March 8, 2019","Friday, March 8, 2019"
user57@rbt.rs,"Thursday, July 25, 2019","Friday, August 2, 2019"
user57@rbt.rs,"Monday, September 9, 2019","Friday, September 13, 2019"
user57@rbt.rs,"Monday, March 2, 2020","Monday, March 2, 2020"
user57@rbt.rs,"Friday, April 24, 2020","Friday, April 24, 2020"
user57@rbt.rs,"Wednesday, May 6, 2020","Wednesday, May 6, 2020"
user57@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user57@rbt.rs,"Monday, July 20, 2020","Friday, July 31, 2020"
user27@rbt.rs,"Friday, November 29, 2019","Friday, November 29, 2019"
user27@rbt.rs,"Monday, May 18, 2020","Friday, May 22, 2020"
user27@rbt.rs,"Monday, June 15, 2020","Monday, June 15, 2020"
user27@rbt.rs,"Monday, December 14, 2020","Friday, December 18, 2020"
user27@rbt.rs,"Monday, March 29, 2021","Friday, April 2, 2021"
user27@rbt.rs,"Monday, May 17, 2021","Friday, May 21, 2021"
user27@rbt.rs,"Monday, June 14, 2021","Friday, June 18, 2021"
user27@rbt.rs,"Monday, October 25, 2021","Friday, October 29, 2021"
user27@rbt.rs,"Tuesday, November 23, 2021","Tuesday, November 23, 2021"
user28@rbt.rs,"Monday, October 21, 2019","Friday, November 1, 2019"
user28@rbt.rs,"Friday, August 23, 2019","Friday, August 23, 2019"
user28@rbt.rs,"Friday, December 20, 2019","Friday, December 20, 2019"
user28@rbt.rs,"Monday, December 30, 2019","Tuesday, December 31, 2019"
user28@rbt.rs,"Wednesday, March 25, 2020","Wednesday, March 25, 2020"
user28@rbt.rs,"Monday, May 25, 2020","Friday, May 29, 2020"
user28@rbt.rs,"Friday, June 12, 2020","Friday, June 12, 2020"
user28@rbt.rs,"Monday, August 3, 2020","Monday, August 3, 2020"
user28@rbt.rs,"Monday, August 24, 2020","Friday, August 28, 2020"
user28@rbt.rs,"Friday, August 14, 2020","Friday, August 14, 2020"
user28@rbt.rs,"Thursday, November 12, 2020","Friday, November 13, 2020"
user28@rbt.rs,"Wednesday, December 16, 2020","Wednesday, December 16, 2020"
user28@rbt.rs,"Monday, January 4, 2021","Wednesday, January 6, 2021"
user28@rbt.rs,"Monday, February 8, 2021","Friday, February 12, 2021"
user28@rbt.rs,"Wednesday, February 17, 2021","Friday, February 19, 2021"
user28@rbt.rs,"Monday, April 19, 2021","Wednesday, April 21, 2021"
user28@rbt.rs,"Thursday, April 22, 2021","Thursday, April 29, 2021"
user66@rbt.rs,"Monday, March 18, 2019","Friday, March 22, 2019"
user29@rbt.rs,"Tuesday, January 8, 2019","Tuesday, January 8, 2019"
user29@rbt.rs,"Monday, July 1, 2019","Tuesday, July 2, 2019"
user29@rbt.rs,"Friday, September 20, 2019","Friday, September 20, 2019"
user29@rbt.rs,"Thursday, April 30, 2020","Monday, May 4, 2020"
user29@rbt.rs,"Thursday, May 21, 2020","Tuesday, May 26, 2020"
user29@rbt.rs,"Monday, June 15, 2020","Friday, June 26, 2020"
user29@rbt.rs,"Friday, May 15, 2020","Friday, May 15, 2020"
user29@rbt.rs,"Tuesday, June 30, 2020","Tuesday, June 30, 2020"
user29@rbt.rs,"Friday, October 9, 2020","Friday, October 9, 2020"
user29@rbt.rs,"Thursday, November 12, 2020","Friday, November 13, 2020"
user29@rbt.rs,"Wednesday, February 17, 2021","Friday, February 26, 2021"
user29@rbt.rs,"Monday, April 26, 2021","Thursday, April 29, 2021"
user29@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user29@rbt.rs,"Wednesday, June 16, 2021","Thursday, June 17, 2021"
user29@rbt.rs,"Thursday, July 1, 2021","Friday, July 2, 2021"
user29@rbt.rs,"Friday, August 6, 2021","Friday, August 13, 2021"
user29@rbt.rs,"Friday, November 12, 2021","Friday, November 12, 2021"
user29@rbt.rs,"Monday, December 6, 2021","Monday, December 6, 2021"
user67@rbt.rs,"Thursday, February 7, 2019","Friday, February 8, 2019"
user30@rbt.rs,"Monday, November 4, 2019","Monday, November 18, 2019"
user30@rbt.rs,"Monday, March 9, 2020","Monday, March 9, 2020"
user30@rbt.rs,"Wednesday, May 6, 2020","Wednesday, May 6, 2020"
user30@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user30@rbt.rs,"Friday, May 29, 2020","Friday, May 29, 2020"
user30@rbt.rs,"Monday, June 22, 2020","Monday, June 29, 2020"
user30@rbt.rs,"Monday, September 28, 2020","Friday, October 2, 2020"
user30@rbt.rs,"Monday, January 11, 2021","Friday, January 29, 2021"
user30@rbt.rs,"Monday, February 1, 2021","Tuesday, February 2, 2021"
user58@rbt.rs,"Thursday, June 13, 2019","Thursday, June 13, 2019"
user58@rbt.rs,"Friday, August 23, 2019","Friday, August 23, 2019"
user58@rbt.rs,"Tuesday, October 1, 2019","Monday, October 7, 2019"
user58@rbt.rs,"Wednesday, January 1, 2020","Friday, January 10, 2020"
user58@rbt.rs,"Tuesday, January 21, 2020","Tuesday, January 21, 2020"
user58@rbt.rs,"Wednesday, April 1, 2020","Friday, April 3, 2020"
user58@rbt.rs,"Monday, May 4, 2020","Tuesday, May 5, 2020"
user58@rbt.rs,"Thursday, June 11, 2020","Friday, June 12, 2020"
user58@rbt.rs,"Friday, July 3, 2020","Friday, July 3, 2020"
user58@rbt.rs,"Wednesday, July 8, 2020","Thursday, July 9, 2020"
user58@rbt.rs,"Thursday, August 20, 2020","Friday, August 28, 2020"
user58@rbt.rs,"Monday, September 21, 2020","Thursday, September 24, 2020"
user59@rbt.rs,"Monday, July 29, 2019","Friday, August 2, 2019"
user59@rbt.rs,"Monday, September 9, 2019","Friday, September 13, 2019"
user59@rbt.rs,"Tuesday, November 12, 2019","Friday, November 15, 2019"
user59@rbt.rs,"Friday, January 3, 2020","Monday, January 6, 2020"
user59@rbt.rs,"Monday, March 2, 2020","Thursday, March 5, 2020"
user59@rbt.rs,"Friday, March 6, 2020","Friday, March 6, 2020"
user59@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user31@rbt.rs,"Wednesday, July 31, 2019","Friday, August 9, 2019"
user31@rbt.rs,"Friday, October 4, 2019","Tuesday, October 8, 2019"
user31@rbt.rs,"Monday, December 30, 2019","Monday, January 6, 2020"
user31@rbt.rs,"Friday, February 7, 2020","Tuesday, February 11, 2020"
user31@rbt.rs,"Friday, May 22, 2020","Friday, May 22, 2020"
user31@rbt.rs,"Thursday, November 12, 2020","Thursday, November 12, 2020"
user31@rbt.rs,"Friday, November 13, 2020","Friday, November 13, 2020"
user31@rbt.rs,"Monday, August 2, 2021","Tuesday, August 10, 2021"
user31@rbt.rs,"Wednesday, October 27, 2021","Wednesday, October 27, 2021"
user31@rbt.rs,"Friday, November 12, 2021","Friday, November 12, 2021"
user68@rbt.rs,"Tuesday, August 20, 2019","Thursday, September 5, 2019"
user60@rbt.rs,"Thursday, January 10, 2019","Friday, January 11, 2019"
user60@rbt.rs,"Monday, February 11, 2019","Thursday, February 14, 2019"
user60@rbt.rs,"Friday, March 8, 2019","Friday, March 8, 2019"
user60@rbt.rs,"Monday, July 29, 2019","Friday, August 2, 2019"
user60@rbt.rs,"Monday, September 9, 2019","Friday, September 13, 2019"
user60@rbt.rs,"Monday, March 2, 2020","Monday, March 2, 2020"
user60@rbt.rs,"Friday, April 24, 2020","Monday, April 27, 2020"
user38@rbt.rs,"Monday, August 16, 2021","Wednesday, August 25, 2021"
user38@rbt.rs,"Thursday, August 26, 2021","Friday, August 27, 2021"
user60@rbt.rs,"Friday, May 22, 2020","Tuesday, May 26, 2020"
user60@rbt.rs,"Thursday, July 9, 2020","Friday, July 17, 2020"
user32@rbt.rs,"Thursday, August 15, 2019","Friday, August 16, 2019"
user32@rbt.rs,"Friday, January 31, 2020","Friday, February 7, 2020"
user32@rbt.rs,"Monday, May 18, 2020","Friday, May 29, 2020"
user32@rbt.rs,"Monday, August 24, 2020","Tuesday, August 25, 2020"
user32@rbt.rs,"Wednesday, August 26, 2020","Friday, September 4, 2020"
user32@rbt.rs,"Monday, March 8, 2021","Friday, March 19, 2021"
user32@rbt.rs,"Monday, July 19, 2021","Tuesday, July 20, 2021"
user32@rbt.rs,"Wednesday, July 21, 2021","Friday, July 23, 2021"
user32@rbt.rs,"Thursday, August 12, 2021","Friday, August 20, 2021"
user61@rbt.rs,"Monday, May 11, 2020","Friday, June 5, 2020"
user61@rbt.rs,"Monday, June 8, 2020","Wednesday, June 17, 2020"
user62@rbt.rs,"Wednesday, June 19, 2019","Friday, June 28, 2019"
user62@rbt.rs,"Tuesday, April 30, 2019","Friday, May 3, 2019"
user62@rbt.rs,"Wednesday, January 29, 2020","Thursday, February 6, 2020"
user62@rbt.rs,"Friday, February 7, 2020","Friday, February 7, 2020"
user62@rbt.rs,"Friday, January 3, 2020","Friday, January 3, 2020"
user62@rbt.rs,"Thursday, April 30, 2020","Monday, May 4, 2020"
user62@rbt.rs,"Monday, August 17, 2020","Monday, August 31, 2020"
user33@rbt.rs,"Tuesday, September 10, 2019","Friday, September 13, 2019"
user33@rbt.rs,"Friday, November 22, 2019","Friday, November 22, 2019"
user33@rbt.rs,"Friday, May 15, 2020","Friday, May 29, 2020"
user33@rbt.rs,"Friday, July 24, 2020","Friday, July 24, 2020"
user33@rbt.rs,"Monday, August 17, 2020","Wednesday, August 19, 2020"
user33@rbt.rs,"Thursday, August 20, 2020","Friday, August 28, 2020"
user33@rbt.rs,"Tuesday, October 20, 2020","Tuesday, October 20, 2020"
user33@rbt.rs,"Tuesday, October 20, 2020","Tuesday, October 20, 2020"
user33@rbt.rs,"Monday, March 15, 2021","Friday, March 19, 2021"
user33@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user33@rbt.rs,"Monday, July 19, 2021","Wednesday, July 21, 2021"
user33@rbt.rs,"Thursday, July 22, 2021","Friday, July 23, 2021"
user33@rbt.rs,"Monday, August 16, 2021","Friday, August 27, 2021"
user69@rbt.rs,"Wednesday, July 24, 2019","Friday, July 26, 2019"
user69@rbt.rs,"Thursday, March 28, 2019","Friday, March 29, 2019"
user34@rbt.rs,"Thursday, September 19, 2019","Saturday, September 28, 2019"
user34@rbt.rs,"Friday, December 20, 2019","Friday, December 20, 2019"
user34@rbt.rs,"Friday, August 21, 2020","Friday, August 21, 2020"
user34@rbt.rs,"Monday, October 26, 2020","Monday, November 9, 2020"
user34@rbt.rs,"Tuesday, November 10, 2020","Tuesday, November 10, 2020"
user34@rbt.rs,"Wednesday, February 17, 2021","Friday, February 19, 2021"
user34@rbt.rs,"Monday, April 12, 2021","Friday, April 16, 2021"
user34@rbt.rs,"Monday, May 31, 2021","Monday, June 14, 2021"
user35@rbt.rs,"Thursday, August 22, 2019","Friday, August 23, 2019"
user35@rbt.rs,"Tuesday, October 29, 2019","Tuesday, October 29, 2019"
user35@rbt.rs,"Tuesday, December 31, 2019","Friday, January 3, 2020"
user35@rbt.rs,"Thursday, March 12, 2020","Friday, March 13, 2020"
user35@rbt.rs,"Wednesday, May 20, 2020","Friday, May 22, 2020"
user35@rbt.rs,"Thursday, June 4, 2020","Thursday, June 4, 2020"
user35@rbt.rs,"Monday, August 31, 2020","Friday, September 11, 2020"
user35@rbt.rs,"Wednesday, November 18, 2020","Friday, November 20, 2020"
user35@rbt.rs,"Monday, January 4, 2021","Wednesday, January 6, 2021"
user35@rbt.rs,"Friday, February 19, 2021","Friday, February 19, 2021"
user35@rbt.rs,"Tuesday, February 9, 2021","Tuesday, February 9, 2021"
user35@rbt.rs,"Tuesday, April 6, 2021","Tuesday, April 6, 2021"
user35@rbt.rs,"Wednesday, April 7, 2021","Wednesday, April 7, 2021"
user35@rbt.rs,"Monday, July 5, 2021","Tuesday, July 6, 2021"
user35@rbt.rs,"Monday, August 16, 2021","Tuesday, August 31, 2021"
user35@rbt.rs,"Friday, November 12, 2021","Friday, November 12, 2021"
user36@rbt.rs,"Monday, May 11, 2020","Tuesday, May 19, 2020"
user36@rbt.rs,"Monday, September 21, 2020","Friday, October 2, 2020"
user36@rbt.rs,"Monday, May 17, 2021","Friday, May 28, 2021"
user36@rbt.rs,"Monday, September 6, 2021","Friday, September 10, 2021"
user37@rbt.rs,"Monday, August 26, 2019","Friday, September 6, 2019"
user37@rbt.rs,"Friday, April 24, 2020","Tuesday, April 28, 2020"
user37@rbt.rs,"Wednesday, May 13, 2020","Wednesday, May 13, 2020"
user37@rbt.rs,"Friday, May 29, 2020","Friday, May 29, 2020"
user37@rbt.rs,"Tuesday, June 16, 2020","Friday, June 19, 2020"
user37@rbt.rs,"Monday, July 6, 2020","Monday, July 6, 2020"
user37@rbt.rs,"Tuesday, July 7, 2020","Friday, July 10, 2020"
user37@rbt.rs,"Friday, November 20, 2020","Friday, November 20, 2020"
user37@rbt.rs,"Tuesday, December 1, 2020","Wednesday, December 2, 2020"
user37@rbt.rs,"Monday, December 21, 2020","Monday, December 21, 2020"
user37@rbt.rs,"Monday, January 4, 2021","Wednesday, January 6, 2021"
user37@rbt.rs,"Wednesday, February 17, 2021","Friday, February 19, 2021"
user37@rbt.rs,"Thursday, February 25, 2021","Thursday, February 25, 2021"
user37@rbt.rs,"Wednesday, May 5, 2021","Friday, May 7, 2021"
user37@rbt.rs,"Friday, June 4, 2021","Friday, June 4, 2021"
user37@rbt.rs,"Monday, June 21, 2021","Monday, June 21, 2021"
user37@rbt.rs,"Tuesday, June 22, 2021","Monday, July 5, 2021"
user42@rbt.rs,"Tuesday, June 22, 2021","Tuesday, June 22, 2021"
user42@rbt.rs,"Monday, August 9, 2021","Thursday, August 19, 2021"
user48@rbt.rs,"Friday, November 26, 2021","Friday, November 26, 2021"
